UNITID,Institution,City,State,Sector,Control,CohortYear,GRReportingYear,GR200ReportingYear,CohortType,AwardLevel,InitialCohort,Exclusions,AdjustedCohort,Completers100,Completers150,Completers200,TransferOut,GraduationRate100,GraduationRate150,GraduationRate200,TransferOutRate,PeerGroup,DisplayOrder,IsCaldwell,PeerGroupName
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,251,0,251,92,133,139,93,36.65338645418327,52.98804780876494,55.37848605577689,37.05179282868526,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,223,0,223,59,94,99,88,26.45739910313901,42.152466367713004,44.39461883408072,39.46188340807175,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,243,0,243,68,116,121,84,27.983539094650205,47.73662551440329,49.794238683127574,34.5679012345679,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,160,0,160,56,87,88,49,35,54.37499999999999,55.00000000000001,30.625000000000004,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,275,0,275,108,148,150,93,39.27272727272727,53.81818181818182,54.54545454545454,33.81818181818182,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,228,0,228,107,130,134,70,46.92982456140351,57.01754385964912,58.77192982456141,30.701754385964914,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,149,0,149,65,87,88,40,43.624161073825505,58.38926174496645,59.06040268456376,26.845637583892618,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,221,0,221,96,119,120,68,43.43891402714932,53.84615384615385,54.29864253393665,30.76923076923077,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,216,0,216,NA,119,NA,68,NA,55.092592592592595,NA,31.48148148148148,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
184773,Georgian Court University,Lakewood,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,280,0,280,NA,150,NA,104,NA,53.57142857142857,NA,37.142857142857146,Peer Institution,6,FALSE,Caldwell University Graduation Rate Peer Group
