"Year","UNITID","Institution","State","Control","InstitutionLevel","CarnegieClassification","TotalFTE","UndergraduateFTE","GraduateFTE","TwelveMonthHeadcount","TotalDegreesAwarded","TotalCompleters","BachelorsDegrees","MastersDegrees","DoctoralDegrees","InstructionExpenses","TotalCoreExpenses","TotalCoreRevenue","TuitionAndFeeRevenue","StudentServicesExpenses","AcademicSupportExpenses","InstitutionalSupportExpenses","ResearchExpenses","FullTimeInstructionalStaff","PartTimeInstructionalStaff","InstructionalStaffFTE","FullTimeStaff","PartTimeStaff","TotalStaffHeadcount","TotalStaffFTE","FinanceReportingStandard","FinanceParentChildStatus","DegreesPer100FTE","DegreesPerFullTimeInstructionalStaff","DegreesPerInstructionalStaffFTE","InstructionExpensesPerDegree","CoreExpensesPerDegree","InstructionExpensesPerFTE","StudentServicesExpensesPerFTE","AcademicSupportExpensesPerFTE","InstitutionalSupportExpensesPerFTE","CoreRevenuePerFTE","TuitionRevenuePerFTE","TuitionDependency","StaffHeadcountPer100FTE","StaffFTEPer100StudentFTE","InstructionShareOfCoreExpenses","StudentServicesShareOfCoreExpenses","AcademicSupportShareOfCoreExpenses","InstitutionalSupportShareOfCoreExpenses","OtherCoreExpenses","OtherCoreExpensesShare"
2021,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1268,958,212,1414,321,307,211,78,32,16913227,35163629,64746153,19163086,7162547,3674266,7266384,147205,92,69,115,270,97,367,301,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.3154574132492,3.48913043478261,2.79130434782609,52689.1806853583,109544.015576324,13338.5070977918,5648.69637223975,2897.68611987382,5730.58675078864,51061.6348580442,15112.8438485804,29.597258079565,28.9432176656151,23.7381703470032,48.0986390796013,20.3691917008907,10.4490523432607,20.6644882984063,0,0
2022,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1415,1056,197,1534,320,314,207,82,31,18745913,42349443,21545596,18434152,10413045,4223511,8451428,515546,98,57,117,276,83,359,304,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",22.6148409893993,3.26530612244898,2.73504273504274,58580.978125,132342.009375,13247.9950530035,7359.04240282686,2984.81342756184,5972.7406360424,15226.5696113074,13027.6692579505,85.5587935464863,25.3710247349823,21.4840989399293,44.2648395635333,24.5883871483268,9.97300247845054,19.9564088717767,0,0
2023,232025,"Emory & Henry University","VA","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1445,1083,184,1459,271,261,195,44,32,20655244,47779922,48953923,17584021,10676210,5013004,11140346,295118,103,68,126,309,111,420,346,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",18.7543252595156,2.63106796116505,2.15079365079365,76218.6125461255,176309.675276753,14294.2865051903,7388.38062283737,3469.20692041522,7709.58200692042,33878.1474048443,12168.8726643599,35.9195339666649,29.0657439446367,23.9446366782007,43.2299659258548,22.3445530112,10.4918630884328,23.3159568573595,0,0
2024,232025,"Emory & Henry University","VA","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1551,1153,255,1490,301,296,181,56,64,22638103,49803121,43387149,17279479,10702736,5293727,10788859,379696,92,52,109.33,282,97,379,314.33,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",19.4068343004513,3.27173913043478,2.7531327174609,75209.6445182724,165458.873754153,14595.8110896196,6900.5390070922,3413.1057382334,6956.06640876854,27973.6615087041,11140.863313991,39.8262605362708,24.4358478401032,20.2662798194713,45.4551894448543,21.4900909523321,10.6293077496087,21.6630178658884,0,0
2015,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1818,1606,196,2475,529,529,438,85,6,12555261,36508167,39513081,33194490,8845200,3647006,11460700,0,85,117,124,238,165,403,293,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.0979097909791,6.22352941176471,4.26612903225806,23733.9527410208,69013.5482041588,6906.08415841584,4865.34653465346,2006.05390539054,6304.01540154015,21734.3679867987,18258.795379538,84.0088627864782,22.1672167216722,16.1166116611661,34.3902803994514,24.2280035587654,9.98956206155187,31.3921539802313,0,0
2016,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1830,1586,227,2381,495,493,414,78,3,13446240,37809680,36656119,33996746,8342800,3774875,12245765,0,85,124,126,234,173,407,290,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.0491803278689,5.8235294117647,3.92857142857143,27164.1212121212,76383.1919191919,7347.67213114754,4558.90710382514,2062.77322404372,6691.67486338798,20030.6661202186,18577.4568306011,92.7450775680862,22.2404371584699,15.8469945355191,35.5629563646135,22.0652488992237,9.98388507916491,32.3879096569979,0,0
2017,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1858,1612,225,2414,460,460,355,103,2,14011185,38286296,38456592,34238497,8640379,3645063,11989669,0,79,133,123,225,180,405,285,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.7578040904198,5.82278481012658,3.73983739837398,30459.097826087,83231.0782608696,7541.00376749193,4650.3654467169,1961.82077502691,6452.99730893434,20697.8428417653,18427.6087190527,89.0315423686009,21.7976318622174,15.3390742734123,36.5958226933209,22.5678112084804,9.52054228489484,31.3158238133039,0,0
2018,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1867,1600,234,2407,486,486,370,116,0,13534212,38060544,37702188,33812760,8901724,3914309,11710299,0,80,134,125,237,181,418,297,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.0310658810927,6.075,3.888,27848.1728395062,78313.8765432099,7249.1762185324,4767.92929833958,2096.57686127477,6272.25441885378,20193.9946438136,18110.7445099089,89.6838135760185,22.3888591322978,15.9078735940011,35.559691422172,23.3883257159961,10.2844273586841,30.7675555031478,0,0
2019,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1870,1604,227,2412,450,450,314,128,8,14512594,40468799,37863429,35124088,10496705,4223240,11236260,0,82,154,133,268,200,468,335,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.0641711229947,5.48780487804878,3.38345864661654,32250.2088888889,89930.6644444444,7760.74545454545,5613.21122994652,2258.41711229947,6008.69518716578,20247.8229946524,18782.9347593583,92.7652062363396,25.0267379679144,17.9144385026738,35.8611927178763,25.9377724552686,10.4357927696347,27.7652420572204,0,0
2020,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2187,1914,232,2882,464,464,364,99,1,16351131,44538664,42173966,38636668,12902300,4346917,10938316,0,80,192,144,269,225,494,343,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.2162780064015,5.8,3.22222222222222,35239.5064655172,95988.5,7476.51165980796,5899.54275262917,1987.61636945588,5001.51623228166,19283.9350708733,17666.5148605396,91.6126029029378,22.5880201188843,15.6835848193873,36.7122170525816,28.9687629606492,9.7598729050337,24.5591470817355,0,0
2021,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2351,2082,225,3052,531,531,411,117,3,15998256,42551193,45599656,36387804,9929787,4562404,12060746,0,87,168,143,277,203,480,344,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",22.5861335601872,6.10344827586207,3.71328671328671,30128.5423728814,80134.0734463277,6804.87282007656,4223.64398128456,1940.62271373883,5130.04934070608,19395.8553806891,15477.5857082093,79.7984177775376,20.4168438962144,14.6320714589536,37.5976673556485,23.3360954180533,10.7221529605527,28.3440842657455,0,0
2022,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2250,2003,209,2941,624,624,464,153,7,16460431,51911100,54452455,34451950,11913168,4008727,19528774,0,84,146,133,268,184,452,329,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.7333333333333,7.42857142857143,4.69172932330827,26378.8958333333,83190.8653846154,7315.74711111111,5294.74133333333,1781.65644444444,8679.45511111111,24201.0911111111,15311.9777777778,63.2697827857348,20.0888888888889,14.6222222222222,31.7088849976209,22.9491727202853,7.72229253473727,37.6196497473565,0,0
2023,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1990,1726,232,2682,526,526,420,96,10,19906503,53444295,48390787,31574051,15692010,4436305,4673019,0,85,114,123,263,156,419,315,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.4321608040201,6.18823529411765,4.27642276422764,37845.0627376426,101605.123574144,10003.267839196,7885.43216080402,2229.29899497487,2348.25075376884,24316.9783919598,15866.3572864322,65.2480626115876,21.0552763819096,15.8291457286432,37.2471991631661,29.3614313744807,8.30080179746033,8.74371904428714,8736458,16.3468486206058
2024,184612,"Felician University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2212,1900,265,2761,537,537,415,113,9,17895819,52851170,43964588,34903748,15691118,4215746,7553041,0,79,134,123.67,274,174,448,332,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.2766726943942,6.79746835443038,4.34220101884046,33325.5474860335,98419.3109869646,8090.33408679928,7093.63381555154,1905.85262206148,3414.57549728752,19875.4918625678,15779.2712477396,79.3905949943168,20.253164556962,15.0090415913201,33.8607811331329,29.6892538045988,7.9766370356607,14.2911519271948,7495446,14.1821760994127
2015,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1836,1382,454,2695,531,531,348,183,0,13482903,42319972,39501684,33806864,9152874,8063255,11620940,0,86,161,140,298,200,498,365,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",28.921568627451,6.17441860465116,3.79285714285714,25391.5310734463,79698.6290018832,7343.62908496732,4985.22549019608,4391.75108932462,6329.48801742919,21515.0784313725,18413.3246187364,85.5833488010283,27.1241830065359,19.880174291939,31.8594327047286,21.6277884115802,19.0530726249063,27.4597062587849,0,0
2016,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1784,1343,441,2675,487,487,292,195,0,12496481,40058587,36259989,33487841,9143923,7216056,11202127,0,85,175,143,296,208,504,365,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.2982062780269,5.72941176470588,3.40559440559441,25660.1252566735,82255.8254620123,7004.75392376682,5125.51737668161,4044.87443946188,6279.21917040359,20325.105941704,18771.21132287,92.3548018726647,28.2511210762332,20.4596412556054,31.1955112146117,22.8263742802511,18.0137557023666,27.9643588027706,0,0
2017,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1948,1412,536,2779,573,572,401,172,0,13418687,41974564,42759448,34264283,10271628,6979912,11304337,0,87,197,153,309,230,539,386,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.4147843942505,6.58620689655172,3.74509803921569,23418.3019197208,73254.0383944154,6888.44301848049,5272.90965092402,3583.11704312115,5803.0477412731,21950.4353182752,17589.4676591376,80.1326598042145,27.6694045174538,19.8151950718686,31.9686155644166,24.4710772933818,16.6289088791965,26.9313982630052,0,0
2018,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1939,1417,522,2876,660,660,390,270,0,13766299,42963268,40898488,33822140,10786839,7770192,10639938,0,89,188,152,306,216,522,378,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",34.0381640020629,7.41573033707865,4.3421052631579,20858.0287878788,65095.8606060606,7099.69004641568,5563.09386281588,4007.31923671996,5487.33264569366,21092.5673027334,17443.0840639505,82.6977760155828,26.9210933470861,19.4945848375451,32.0420201740706,25.107119411866,18.0856633159284,24.7651970981351,0,0
2019,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1973,1515,458,2850,580,580,337,243,0,14388281,43636913,40049027,34355557,10673335,7877428,10697869,0,91,198,157,291,223,514,365,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.3968575772935,6.37362637362637,3.69426751592357,24807.3810344828,75236.0568965517,7292.59047136341,5409.69842878865,3992.61429295489,5422.13329954384,20298.5438418652,17412.8520020274,85.7837495028281,26.0516979219463,18.499746578814,32.9727288454158,24.4594181077841,18.0522118968406,24.5156411499594,0,0
2020,184773,"Georgian Court University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1959,1523,414,2981,638,638,410,228,0,14662682,42521914,40644336,35281483,10169296,7322968,10366968,0,90,166,145,264,193,457,327,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",32.5676365492598,7.08888888888889,4.4,22982.2601880878,66648.7680250784,7484.77896886166,5191.06482899438,3738.11536498213,5291.96937212864,20747.4915773354,18009.9453802961,86.8054112140004,23.3282286881062,16.6921898928024,34.482648170541,23.9154239388189,17.2216330619548,24.3802948286853,0,0
